episode,avg_travel_time,total,complete,ratio,stops
1,696.16,5902,4114,0.7,4717
2,647.27,5921,4446,0.75,4719
3,650.6,5885,4279,0.73,4722
4,611.68,6122,4609,0.75,4914
5,575.87,6152,4604,0.75,4938
6,523.62,6258,4948,0.79,5027
7,490.33,6234,5059,0.81,5009
8,462.03,6262,5257,0.84,5014
9,446.67,6174,5262,0.85,4946
10,430.6,6239,5325,0.85,4984
11,397.54,6295,5474,0.87,5017
12,404.51,6256,5472,0.87,4986
13,385.68,6292,5488,0.87,5016
14,376.98,6283,5500,0.88,5016
15,378.83,6288,5493,0.87,5054
16,366.5,6295,5530,0.88,5014
17,365.0,6295,5549,0.88,5031
18,366.4,6295,5544,0.88,5006
19,365.07,6295,5505,0.87,5004
20,359.6,6295,5535,0.88,5025
21,357.28,6295,5592,0.89,5015
22,357.06,6295,5594,0.89,5007
23,353.86,6295,5610,0.89,5025
24,350.57,6295,5619,0.89,5020
25,356.49,6295,5594,0.89,5015
26,343.87,6295,5634,0.89,5021
27,347.07,6295,5613,0.89,5018
28,341.77,6295,5630,0.89,5021
29,339.28,6295,5632,0.89,5019
30,340.0,6295,5635,0.9,5014
31,338.59,6295,5642,0.9,4996
32,333.83,6295,5647,0.9,5017
33,331.28,6295,5662,0.9,5025
34,332.45,6295,5655,0.9,5014
35,329.99,6295,5668,0.9,5022
36,326.27,6295,5671,0.9,5031
37,326.25,6295,5690,0.9,4995
38,326.51,6295,5668,0.9,5001
39,322.6,6295,5682,0.9,4999
40,325.44,6295,5650,0.9,5008
41,324.85,6295,5658,0.9,5013
42,322.73,6295,5685,0.9,5015
43,321.99,6295,5682,0.9,4988
44,320.97,6295,5693,0.9,5015
45,320.18,6295,5675,0.9,4990
46,321.65,6295,5680,0.9,4996
47,317.84,6295,5703,0.91,5040
48,317.33,6295,5700,0.91,5021
49,314.5,6295,5697,0.91,4989
50,316.63,6295,5716,0.91,5011
